num_word,num_word_wo_stops,av_word_len,av_word_len_wo_stops,pos_freq_distCC,pos_freq_distCD,pos_freq_distDT,pos_freq_distEX,pos_freq_distFW,pos_freq_distIN,pos_freq_distJJ,pos_freq_distJJR,pos_freq_distJJS,pos_freq_distLS,pos_freq_distMD,pos_freq_distNN,pos_freq_distNNS,pos_freq_distNNP,pos_freq_distNNPS,pos_freq_distPDT,pos_freq_distPOS,pos_freq_distPRP,pos_freq_distPRP$,pos_freq_distRB,pos_freq_distRBR,pos_freq_distRBS,pos_freq_distRP,pos_freq_distSYM,pos_freq_distTO,pos_freq_distUH,pos_freq_distVB,pos_freq_distVBD,pos_freq_distVBG,pos_freq_distVBN,pos_freq_distVBP,pos_freq_distVBZ,pos_freq_distWDT,pos_freq_distWP,pos_freq_distWP$,pos_freq_distWRB,word_len_dist_chars-6,word_len_dist_chars-5,word_len_dist_chars-4,word_len_dist_chars-3,word_len_dist_chars-2,word_len_dist_chars-1,word_len_dist_chars0,word_len_dist_chars1,word_len_dist_chars2,word_len_dist_chars3,word_len_dist_chars4,word_len_dist_chars5,word_len_dist_chars6,word_len_dist_chars7,word_len_dist_chars8,word_len_dist_chars9,word_len_dist_chars10,word_len_dist_chars11,word_len_dist_chars12,word_len_dist_chars13,word_len_dist_chars14,word_len_dist_chars15,word_len_dist_chars16,word_len_dist_chars17,word_len_dist_chars18,pers_pron1,pers_pron2,pers_pron3,pers_pron4,pers_pron5,pers_pron6,pers_pron7,pers_pron8,pers_pron9,pers_pron10,pers_pron11,pers_pron12,pers_pron13,pers_pron14,pers_pron15,pers_pron16,pers_pron17,pers_pron18,pers_pron19,pers_pron20,pers_pron21,pers_pron22,pers_pron23,pers_pron24,pers_pron25,pers_pron26,pers_pron27,pers_pron28,pers_pron29,pers_pron30,pers_pron31,pers_pron32,pers_pron33,pers_pron34,pers_pron35,pers_pron36,pers_pron37,pers_pron38,pers_pron39,pers_pron40,pers_pron41,pers_pron42,pers_pron43,pers_pron44,pers_pron45,pers_pron46,pers_pron47,pers_pron48,pers_pron49,pers_pron50,tense_VB,tense_VBD,tense_VBG,tense_VBN,tense_VBP,tense_VBZ
309,198,4.902912621359223,5.97979797979798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11974110032362459,0.0,0.0,0.0,0.022653721682847898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03559870550161812,0.0,0.003236245954692557,0.0,0.0,0.016181229773462782,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.006472491909385114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006472491909385114,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
615,363,4.91869918699187,6.380165289256198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0943089430894309,0.0,0.0,0.0,0.008130081300813009,0.0016260162601626016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03739837398373984,0.0,0.00975609756097561,0.0,0.0,0.024390243902439025,0.0032520325203252032,0.0,0.0016260162601626016,0.0,0.0,0.0,0.0,0.0,0.004878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016260162601626018,0.014634146341463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1230,683,4.74959349593496,6.196193265007321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008130081300813008,0.0,0.0,0.0,0.0,0.0008130081300813008,0.0016260162601626016,0.0,0.0,0.0,0.0,0.0,0.0,0.1040650406504065,0.0,0.0008130081300813008,0.0008130081300813008,0.007317073170731708,0.0,0.0,0.0008130081300813008,0.0,0.0,0.0,0.0,0.0,0.0,0.06910569105691057,0.0032520325203252032,0.005691056910569106,0.0008130081300813008,0.0,0.025203252032520326,0.0,0.0,0.0008130081300813008,0.0,0.0008130081300813008,0.0,0.0,0.0,0.0032520325203252032,0.0,0.0024390243902439024,0.0,0.0,0.0,0.0008130081300813008,0.0,0.01951219512195122,0.014634146341463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040650406504065045,0.0,0.0,0.0,0,0,0,0,0,0
2059,1208,5.337056823700825,7.166390728476821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014570179698882952,0.0,0.00048567265662943174,0.00048567265662943174,0.0,0.0,0.0,0.0,0.0,0.0,0.00048567265662943174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10733365711510442,0.0,0.0,0.0,0.007770762506070908,0.0,0.0,0.00048567265662943174,0.00048567265662943174,0.0,0.0,0.0,0.0,0.0,0.04613890237979602,0.0,0.003399708596406022,0.00048567265662943174,0.0,0.027683341427877612,0.0009713453132588635,0.0,0.0,0.0,0.0009713453132588635,0.0,0.0,0.0,0.0,0.0,0.00048567265662943174,0.0,0.0,0.0,0.0,0.0,0.017969888295288974,0.007770762506070908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1965,1023,4.75470737913486,6.439882697947214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11603053435114503,0.0005089058524173028,0.0,0.0,0.00916030534351145,0.0005089058524173028,0.0,0.0055979643765903305,0.0005089058524173028,0.0,0.0,0.0,0.0,0.0,0.044274809160305344,0.0015267175572519084,0.002544529262086514,0.0,0.0,0.03104325699745547,0.0010178117048346056,0.0,0.0005089058524173028,0.0,0.0010178117048346056,0.0,0.0,0.0,0.002035623409669211,0.0,0.0030534351145038168,0.0,0.0005089058524173028,0.0,0.0005089058524173028,0.0,0.012213740458015267,0.01628498727735369,0.0,0.0,0.0,0.0,0.0,0.0005089058524173028,0.0005089058524173028,0.0,0.0005089058524173028,0.0005089058524173028,0.0005089058524173028,0.0,0,0,0,0,0,0
442,253,4.85972850678733,6.351778656126482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12217194570135746,0.0,0.0,0.0,0.033936651583710405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027149321266968326,0.0,0.0,0.0,0.0,0.029411764705882353,0.0022624434389140274,0.0,0.004524886877828055,0.0,0.006787330316742082,0.0,0.0,0.0,0.006787330316742082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027149321266968326,0.03167420814479638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
373,229,4.734584450402145,6.013100436681222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07238605898123325,0.002680965147453083,0.0,0.0,0.005361930294906166,0.0,0.0,0.002680965147453083,0.0,0.0,0.0,0.0,0.0,0.0,0.04289544235924933,0.0,0.0,0.0,0.0,0.02680965147453083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002680965147453083,0.0,0.0,0.0,0.0,0.0,0.013404825737265416,0.00804289544235925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002680965147453083,0.0,0.0,0.0,0,0,0,0,0,0
742,448,5.012129380053908,6.482142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09973045822102426,0.0,0.0,0.0,0.016172506738544475,0.0013477088948787063,0.0,0.0013477088948787063,0.0,0.0,0.0,0.0,0.0,0.0,0.04177897574123989,0.0013477088948787063,0.004043126684636119,0.0,0.0,0.0215633423180593,0.0013477088948787063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005390835579514825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02425876010781671,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1698,1009,4.732037691401649,6.099108027750248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09246171967020024,0.0,0.0,0.0,0.01060070671378092,0.0005889281507656066,0.0,0.0005889281507656066,0.0,0.0,0.0,0.0,0.0,0.0,0.04004711425206125,0.0017667844522968198,0.0017667844522968198,0.0,0.0,0.028268551236749116,0.0017667844522968198,0.0,0.002355712603062426,0.0,0.002944640753828033,0.0,0.0,0.0,0.0005889281507656066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020023557126030624,0.011778563015312132,0.0,0.0,0.0005889281507656066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1605,976,5.552647975077882,7.299180327868853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09906542056074766,0.0,0.0,0.0,0.018691588785046728,0.0006230529595015577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028037383177570093,0.0,0.0024922118380062306,0.0006230529595015577,0.0,0.03364485981308411,0.0012461059190031153,0.0,0.0,0.0,0.0006230529595015577,0.0,0.0,0.0,0.006230529595015576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03426791277258567,0.008722741433021807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
176,109,5.045454545454546,6.4495412844036695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005681818181818182,0.0,0.0,0.0,0.0,0.0,0.03409090909090909,0.028409090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005681818181818182,0.0,0.0,0.0,0,0,0,0,0,0
318,176,4.845911949685535,6.642045454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031446540880503146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10377358490566038,0.0,0.0,0.0,0.031446540880503145,0.0031446540880503146,0.0031446540880503146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0220125786163522,0.0,0.0,0.0,0.0,0.031446540880503145,0.0,0.0,0.0,0.0,0.015723270440251572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015723270440251572,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
743,451,5.180349932705249,6.66740576496674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0955585464333782,0.0,0.0,0.0,0.013458950201884253,0.0,0.0,0.004037685060565276,0.0013458950201884253,0.0,0.0,0.0,0.0,0.0,0.03230148048452221,0.0,0.008075370121130552,0.0013458950201884253,0.0,0.03095558546433378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026917900403768506,0.0,0.0,0.0,0.0,0.0,0.016150740242261104,0.012113055181695828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
425,265,5.030588235294117,6.305660377358491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11058823529411765,0.0,0.0,0.0,0.004705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.011764705882352941,0.018823529411764704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018823529411764704,0.01411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
493,274,4.9898580121703855,6.711678832116788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028397565922921,0.0,0.002028397565922921,0.0,0.0,0.0,0.0,0.0,0.0,0.10547667342799188,0.0,0.0,0.0,0.016227180527383367,0.004056795131845842,0.0,0.008113590263691683,0.002028397565922921,0.0,0.0,0.0,0.0,0.0,0.032454361054766734,0.0,0.002028397565922921,0.0,0.0,0.036511156186612576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006085192697768763,0.0,0.006085192697768763,0.0,0.0,0.0,0.0,0.0,0.010141987829614604,0.008113590263691683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
343,200,5.174927113702624,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09329446064139942,0.0,0.0,0.0,0.0029154518950437317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05539358600583091,0.0,0.0029154518950437317,0.0,0.0,0.037900874635568516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03206997084548105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
495,299,4.937373737373737,6.354515050167224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10303030303030303,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03838383838383838,0.0,0.0,0.0,0.0,0.03838383838383838,0.00808080808080808,0.0,0.00202020202020202,0.0,0.00404040404040404,0.0,0.0,0.0,0.00404040404040404,0.0,0.00202020202020202,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.01616161616161616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
313,187,5.0287539936102235,6.32620320855615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134185303514377,0.0,0.0,0.0,0.01597444089456869,0.0,0.0,0.003194888178913738,0.003194888178913738,0.0,0.0,0.0,0.0,0.0,0.019169329073482427,0.0,0.003194888178913738,0.0,0.0,0.02875399361022364,0.009584664536741214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009584664536741214,0.0,0.003194888178913738,0.0,0.0,0.0,0.0,0.0,0.012779552715654952,0.019169329073482427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1174,685,5.109028960817717,6.6540145985401455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008517887563884157,0.0008517887563884157,0.0,0.0,0.0008517887563884157,0.0,0.0,0.0,0.0,0.0,0.0,0.0008517887563884157,0.0,0.0,0.0,0.0,0.0,0.0,0.09454855195911414,0.0,0.0008517887563884157,0.0,0.007666098807495741,0.0,0.0,0.0017035775127768314,0.0017035775127768314,0.0,0.0,0.0,0.0,0.0,0.02385008517887564,0.0008517887563884157,0.0008517887563884157,0.0,0.0,0.046848381601362864,0.0017035775127768314,0.0,0.002555366269165247,0.0,0.004258943781942078,0.0,0.0,0.0,0.0017035775127768314,0.0,0.0008517887563884157,0.0,0.0,0.0,0.0,0.0,0.00596252129471891,0.016183986371379896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
